KBK;OKVJeD; OKDP;Uslovija kontrakta: № zakaza (№lota);Uslovija kontrakta: Naimenovanie predmeta kontrakta;Uslovija kontrakta:Minimal'no neobhodimye trebovanija, pred#javljaemye k predmetu kontrakta ;Uslovija kontrakta: Edinica izmerenija;Uslovija kontrakta: Kolichestvo (ob#em);Uslovija kontrakta: Nachal'naja (maksimal'naja) cena kontrakta (v tys. rublej);Uslovija kontrakta: Razmer obespechenija zajavki (v tys. rublej) / razmer obespechenija ispolnenija kontrakta (v tys. rublej);Grafik osushhestvlenija procedur zakupki: srok razmeshhenija zakaza (mes., god);Grafik osushhestvlenija procedur zakupki: srok ispolnenija kontrakta (mes., god);Sposob razmeshhenija zakaza;Obosnovanie vnesenija izmenenij
1,03040824800192E+019;51.14.1;7290000;77;Priobretenie bytovoj tehniki;Priobretenie bytovoj tehniki;Komplekt;1;900;9 / 270;10.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;78;Priobretenie kopiroval'no-mnozhitel'noj tehniki;Priobretenie kopiroval'no-mnozhitel'noj tehniki;Komplekt;1;1352,8;13,528 / 405,84;10.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;79;Priobretenie oborudovanija dlja organizacii besprovodnoj seti peredachi dannyh;Priobretenie oborudovanija dlja organizacii besprovodnoj seti peredachi dannyh;Komplekt;1;98,52;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;80;Priobretenie oborudovanija dlja organizacii besprovodnoj seti peredachi dannyh;Priobretenie oborudovanija dlja organizacii besprovodnoj seti peredachi dannyh;Komplekt;1;98,52;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;80;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;Komplekt;1;2200;22 / 660;09.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.1;3020363;81;Priobretenie sredstv vychislitel'noj tehniki;Priobretenie sredstv vychislitel'noj tehniki;Komplekt;1;500;5 / 150;09.2014г.;10.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;82;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;111,12;1,1112 / 33,336;09.2014г.;10.2014г.;Zapros kotirovok;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;33.50.1;3330000;83;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;200;фев.60;09.2014г.;10.2014г.;Zapros kotirovok;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;32.1;3222513;84;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;19,49;-;09.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;85;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;10,38;-;09.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.1;3020363;86;"Priobretenie apparatno-programnogo kompleksa shifrovanija ""Kontinet""";Priobretenie sredstv vychislitel'noj tehniki;Komplekt;1;160;1,6 / 48;09.2014г.;11.2014г.;Zapros kotirovok;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;87;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;4,2;-;09.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.1;3020363;88;Priobretenie jelektronnyh ustrojstv;Priobretenie jelektronnyh ustrojstv;Komplekt;1;50;-;10.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;89;Vypolnenie rabot remontu zdanij;Tekushhij remont pomeshhenij v zdanii po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1;Kompleks rabot;1;100;-;09.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;90;Priobretenie kartograficheskoj produkcii;Priobretenie kartograficheskoj produkcii;Komplekt;1;19,8;-;09.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;37217;9414020;91;Okazanie uslug po publikacii v pechatnom izdanii normativno-pravovyh aktov Ministerstva transporta Rossijskoj Federacii, trebujushhih operativnogo dovedenija do svedenija zainteresovannyh lic ;Okazanie uslug po publikacii v pechatnom izdanii normativno-pravovyh aktov Ministerstva transporta Rossijskoj Federacii, trebujushhih operativnogo dovedenija do svedenija zainteresovannyh lic ;Kompleks uslug;1;1032,26;10,32256 / 309,6768;10.2014г.;12.2015г.;Otkrytyj konkurs;-
1,03040248001924E+018;45.21.10;4529000;92;Vypolnenie rabot remontu zdanij;Tekushhij remont pomeshhenij v zdanii po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1;Kompleks rabot;1;179,15;1,7915 / 53,745;10.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;93;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;10;-;10.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03070524820402E+019;80.30.3;8040020;94;Professional'naja perepodgotovka, povyshenie kvalifikacii;Professional'naja perepodgotovka, povyshenie kvalifikacii;Kompleks uslug;1;46,41;-;10.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;22.13;5200180;95;Podpiska i dostavka periodicheskih izdanij na vtoroe polugodie 2014 goda ;Podpiska i dostavka periodicheskih izdanij na vtoroe polugodie 2014 goda ;Kompleks uslug;1;23,59;-;10.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;96;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;74,7;-;10.2014г.;10.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;97;Priobretenie bytovoj tehniki;Priobretenie bytovoj tehniki;Komplekt;1;770,86;7,7086 / 231,258;10.2014г.;11.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;98;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;Komplekt;1;561,5;5,615 / 168,45;10.2014г.;11.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040248001924E+018;45.21.10;4529000;99;Vypolnenie rabot remontu zdanij;Tekushhij remont pomeshhenij v zdanii po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1;kompleks rabot;1;2115,56;21,1556 / 634,668;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;74.60;7492070;100;Vypolnenie rabot po razvitiju programmnogo obespechenija mezhvedomstvennogo jelektronnogo vzaimodejstvija Ministerstva transporta Rossijskoj Federacii (PO MJeV Mintransa);Vypolnenie rabot po razvitiju programmnogo obespechenija mezhvedomstvennogo jelektronnogo vzaimodejstvija Ministerstva transporta Rossijskoj Federacii (PO MJeV Mintransa);kompleks rabot;1;900;9 / 270;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;101;Priobretenie kopiroval'no-mnozhitel'noj tehniki;Priobretenie kopiroval'no-mnozhitel'noj tehniki;Komplekt;1;2990;29,9 / 897;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;102;Priobretenie orgtehniki;Priobretenie orgtehniki;Komplekt;1;2957;29,57 / 887,1;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+039;64.20;6420000;103;Postavka telefona i okazanie uslug podvizhnoj sputnikovoj svjazi Iridium;Postavka telefona i okazanie uslug podvizhnoj sputnikovoj svjazi Iridium;Komplekt;1;55,27;-;11.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;74.60;7492070;104;Vypolnenie rabot po kompleksnoj podgotovke i attestacii ob#ektov informatizacii Ministerstva transporta Rossijskoj Federacii v 2014 godu;Vypolnenie rabot po kompleksnoj podgotovke i attestacii ob#ektov informatizacii Ministerstva transporta Rossijskoj Federacii v 2014 godu;Kompleks uslug;1;1246,46;12,4646 / 373,938;11.2014г.;12.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;37217;9414020;105;Okazanie uslug po publikacii v pechatnom izdanii normativno-pravovyh aktov Ministerstva transporta Rossijskoj Federacii, trebujushhih operativnogo dovedenija do svedenija zainteresovannyh lic ;Okazanie uslug po publikacii v pechatnom izdanii normativno-pravovyh aktov Ministerstva transporta Rossijskoj Federacii, trebujushhih operativnogo dovedenija do svedenija zainteresovannyh lic ;Kompleks uslug;1;2500;25 / 750;11.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.1;3610000;106;Priobretenie mebeli ;Dlja pomeshhenij raspolozhennyh po adresu: ul. Staraja Basmannaja, d. 11/2, str. 1 ;Komplekt;1;4780,74;239,037 / 1434,222;11.2014г.;12.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;7020020;107;Okazanie uslug po himchistke shtor;Okazanie uslug po himchistke shtor;Kompleks uslug;1;99,48;-;11.2014г.;11.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;108;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;Komplekt;1;98,77;-;11.2014г.;11.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.1;3020363;109;Priobretenie sredstv vychislitel'noj tehniki;Priobretenie sredstv vychislitel'noj tehniki;Komplekt;1;98;-;11.2014г.;11.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.1;3020363;110;Priobretenie sredstv vychislitel'noj tehniki;Priobretenie sredstv vychislitel'noj tehniki;Komplekt;1;98;-;11.2014г.;11.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.1;3020363;111;Priobretenie sredstv vychislitel'noj tehniki;Priobretenie sredstv vychislitel'noj tehniki;Komplekt;1;596,43;-;12.2014г.;05.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.1;3610000;112;Priobretenie mebeli ;Priobretenie mebeli ;Komplekt;1;7125,39;356,2696 / 2137,6176;11.2014г.;12.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;113;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;2950;147,5 / 885;12.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040248001924E+018;45.21.10;4529000;114;Vypolnenie rabot remontu zdanij;Tekushhij remont pomeshhenij ;kompleks rabot;1;2900;29 / 870;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;115;Priobretenie predmetov inter'era;Priobretenie predmetov inter'era;Komplekt;1;2053,78;20,5378499 / 616,135497;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.1;3610000;116;Priobretenie mebeli ;Priobretenie mebeli ;Komplekt;1;1315,67;65,78327838 / 394,69967028;11.2014г.;12.2014г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
103040824Б2064244310;45.21.1;4520080;117;Rekonstruktivnye raboty v zdanii po adresu: ul. Rozhdestvenka, d. 1, str. 1;Rekonstruktivnye raboty v zdanii po adresu: ul. Rozhdestvenka, d. 1, str. 1;Kompleks uslug;1;709857,6;7098,576 / 212957,28;12.2014г.;12.2016г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;74.60.15;7523090;118;na pravo zakljuchenija gosudarstvennogo kontrakta na okazanie uslug po ohrane;na pravo zakljuchenija gosudarstvennogo kontrakta na okazanie uslug po ohrane;Kompleks uslug;1;20;-;11.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;119;Priobretenie flagov;Priobretenie flagov;Komplekt;1;25;-;11.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;3000000;120;Priobretenie parkovochnyh stolbikov;Priobretenie parkovochnyh stolbikov;Komplekt;1;64,2;-;11.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;121;"Okazanie uslug svjazi v vydelennoj seti OAO ""RZhD""";"Okazanie uslug svjazi v vydelennoj seti OAO ""RZhD""  v 2015 godu ";Kompleks uslug;1;300;мар.90;12.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;122;Okazanie uslug sotovoj radiotelefonnoj svjazi v 2015 godu;Okazanie uslug sotovoj radiotelefonnoj svjazi ;Kompleks uslug;1;100;-;11.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;123;Uslugi ATS, SKS, PM;Uslugi ATS, SKS, PM;Kompleks uslug;1;37,44;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;124;"Uslugi ""ATLAS""";"Uslugi ""ATLAS""";Kompleks uslug;1;71,33;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;125;Prjamye provoda pravitel'stvennaja svjaz';Prjamye provoda pravitel'stvennaja svjaz';Kompleks uslug;1;4,89;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;126;Okazanie uslug  sotovoj radiotelefonnoj svjazi v 2015 godu;Okazanie uslug  sotovoj radiotelefonnoj svjazi ;Kompleks uslug;1;100;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;72.60;7260000;127;Obsluzhivanie sajta Ministerstva v 2015 godu;Obsluzhivanie sajta Ministerstva;Kompleks uslug;1;1440;14,4 / 432;11.2014г.;12.2015г.;Otkrytyj konkurs;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;60.20;6022020;128;Okazanie avtotransportnyh uslug v 2015 godu;Okazanie avtotransportnyh uslug v 2015 godu;Kompleks uslug;1;5852,02;58,5202356 / 1755,607068;11.2014г.;12.2015г.;Edinstvennyj postavshhik;-
1,03040824800192E+019;45.21.10;4529000;129;Obsluzhivanie liftov;Obsluzhivanie liftov v 2015 godu;Kompleks rabot;1;1500;15 / 450;10.2014г.;12.2015г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;130;Priobretenie blankov;Priobretenie blankov na 2015 god;Komplekt;1;490;4,9 / 147;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;42359;2109311;131;Priobretenie bumagi;Priobretenie bumagi;Komplekt;1;1000;10 / 300;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;132;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;21,5;-;11.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;133;Priobretenie pit'evoj vody;Priobretenie pit'evoj vody na 2015 god;Komplekt;1;99,87;-;11.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;134;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;3000;150 / 900;12.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;42359;2109311;135;Priobretenie bumagi;Priobretenie bumagi;Komplekt;1;3000;30 / 900;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;42359;2109311;136;Priobretenie bumagi;Priobretenie bumagi;Komplekt;1;3000;30 / 900;11.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;137;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;21,5;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;138;Priobretenie kanceljarskih prinadlezhnostej;Priobretenie kanceljarskih prinadlezhnostej;Komplekt;1;21,5;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;139;Okazanie uslug telegrafnoj svjazi v 2014 godu;Okazanie uslug telegrafnoj svjazi v 2014 godu;Kompleks uslug;1;100;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;64.20;6420000;140;Okazanie uslug telegrafnoj svjazi v 2014 godu;Okazanie uslug telegrafnoj svjazi v 2014 godu;Kompleks uslug;1;100;-;12.2014г.;12.2015г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;30.01.;3000000;141;Postavka kartridzhej dlja orgtehniki;Postavka original'nyh kartridzhej dlja orgtehniki;Komplekt;1;1200;12 / 360;12.2014г.;12.2014г.;Otkrytyj aukcion v jelektronnoj forme;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;142;Postavka sredstv vychislitel'noj tehniki;Oborudovanie dlja gromkoj svjazi;Komplekt;1;2,78;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.14.1;7290000;143;Postavka korobov;Postavka arhivnyh korobov;Komplekt;1;99,86;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;3699010;144;Postavka korobov;Postavka arhivnyh korobov;Komplekt;1;99,86;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.2;2109404;145;Postavka nastennyh chasov;Postavka nastennyh chasov;Komplekt;1;96,62;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;51.47.3;2109405;146;Postavka nastennyh chasov;Postavka nastennyh chasov;Komplekt;1;96,62;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;7020020;147;Okazanie uslug po himchistke shtor;Okazanie uslug po himchistke shtor;Kompleks uslug;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;7020020;148;Okazanie uslug po himchistke shtor;Okazanie uslug po himchistke shtor;Kompleks uslug;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;7020020;149;Okazanie uslug po himchistke shtor;Okazanie uslug po himchistke shtor;Kompleks uslug;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;7020020;150;Vypolnenie rabot po remontu okon;Vypolnenie rabot remontu okon;Komplekt;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;7020020;151;Vypolnenie rabot po remontu okon;Vypolnenie rabot remontu okon;Komplekt;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;70.32.2;7020020;152;Vypolnenie rabot po remontu okon;Vypolnenie rabot remontu okon;Komplekt;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.6;3691610;153;Izgotovlenie i postavka udostoverenij k nagrudnomu znaku i vkleek v udostoverenija k nagrudnomu znaku;Izgotovlenie i postavka udostoverenij k nagrudnomu znaku i vkleek v udostoverenija k nagrudnomu znaku;Komplekt;1;85;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.6;3691610;154;Izgotovlenie i postavka fotoramok k nagradam i nagrudnyh znakov;Izgotovlenie i postavka fotoramok k nagradam i nagrudnyh znakov;Komplekt;1;95;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.6;3691610;155;Izgotovlenie i postavka blagodarnostej Ministra transporta Rossijskoj Federacii i vkleek v udostoverenija k nagrudnym znakam;Izgotovlenie i postavka blagodarnostej Ministra transporta Rossijskoj Federacii i vkleek v udostoverenija k nagrudnym znakam;Komplekt;1;87,8;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.6;3691610;156;Izgotovlenie i postavka papok k prikazam o nagrazhdenii i sumok dlja futljarov s vedomstvennymi nagradami;Izgotovlenie i postavka papok k prikazam o nagrazhdenii i sumok dlja futljarov s vedomstvennymi nagradami;Komplekt;1;95,88;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.6;3691610;157;Izgotovlenie i postavka sumok dlja dlja futljarov s vedomstvennymi nagradami;Izgotovlenie i postavka sumok dlja dlja futljarov s vedomstvennymi nagradami;Komplekt;1;44;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.6;3691610;158;Izgotovlenie i postavka korobok k fotoramkam dlja nagrad;Izgotovlenie i postavka korobok k fotoramkam dlja nagrad;Komplekt;1;97,5;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;36.6;3691610;159;Izgotovlenie i postavka korobok k fotoramkam dlja nagrad;Izgotovlenie i postavka korobok k fotoramkam dlja nagrad;Komplekt;1;97,5;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;160;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;161;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;162;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;163;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;164;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;165;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;166;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;167;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;168;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.33;2919020;169;Postavka i montazh klimaticheskogo oborudovanija;Postavka i montazh klimaticheskogo oborudovanija;Komplekt;1;98;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
1,03040824800192E+019;45.21.10;4529000;170;Vypolnenie rabot po tekushhemu remontu ;Vypolnenie rabot po tekushhemu remontu ;Kompleks rabot;1;100;-;12.2014г.;12.2014г.;Edinstvennyj postavshhik;Pojasnitel'naja zapiska k planu-grafiku
