КБК;ОКВЭД; ОКДП;Условия контракта: № заказа (№лота);Условия контракта: Наименование предмета контракта;Условия контракта:Минимально необходимые требования, предъявляемые к предмету контракта ;Условия контракта: Единица измерения;Условия контракта: Количество (объем);Условия контракта: Начальная (максимальная) цена контракта (в тыс. рублей);Условия контракта: Размер обеспечения заявки (в тыс. рублей) / размер обеспечения исполнения контракта (в тыс. рублей);График осуществления процедур закупки: срок размещения заказа (мес., год);График осуществления процедур закупки: срок исполнения контракта (мес., год);Способ размещения заказа;Обоснование внесения изменений
10304082480019200000;36.1;3610000;106;Приобретение мебели ;Для помещений расположенных по адресу: ул. Старая Басманная, д. 11/2, стр. 1 ;Комплект;1;4 780,74;239,037 / 1434,222;11.2014г.;12.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;7020020;107;Оказание услуг по химчистке штор;Оказание услуг по химчистке штор;Комплекс услуг;1;99,48;-;11.2014г.;11.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;30.01.;3000000;108;Поставка картриджей для оргтехники;Поставка оригинальных картриджей для оргтехники;Комплект;1;98,77;-;11.2014г.;11.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;72.1;3020363;109;Приобретение средств вычислительной техники;Приобретение средств вычислительной техники;Комплект;1;98;-;11.2014г.;11.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;72.1;3020363;110;Приобретение средств вычислительной техники;Приобретение средств вычислительной техники;Комплект;1;98;-;11.2014г.;11.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;72.1;3020363;111;Приобретение средств вычислительной техники;Приобретение средств вычислительной техники;Комплект;1;596,43;-;12.2014г.;05.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.1;3610000;112;Приобретение мебели ;Приобретение мебели ;Комплект;1;7 125,39;356,2696 / 2137,6176;11.2014г.;12.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;2109404;113;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;2 950,00;147,5 / 885;12.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
1030402480019240000;45.21.10;4529000;114;Выполнение работ ремонту зданий;Текущий ремонт помещений ;комплекс работ;1;2 900,00;29 / 870;11.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;115;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;2 053,78;20,5378499 / 616,135497;11.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;36.1;3610000;116;Приобретение мебели ;Приобретение мебели ;Комплект;1;1 315,67;65,78327838 / 394,69967028;11.2014г.;12.2014г.;Открытый конкурс;Пояснительная записка к плану-графику
103040824Б2064244310;45.21.1;4520080;117;Реконструктивные работы в здании по адресу: ул. Рождественка, д. 1, стр. 1;Реконструктивные работы в здании по адресу: ул. Рождественка, д. 1, стр. 1;Комплекс услуг;1;709 857,60;7098,576 / 212957,28;12.2014г.;12.2016г.;Открытый конкурс;Пояснительная записка к плану-графику
10304082480019200000;74.60.15;7523090;118;на право заключения государственного контракта на оказание услуг по охране;на право заключения государственного контракта на оказание услуг по охране;Комплекс услуг;1;20;-;11.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;119;Приобретение флагов;Приобретение флагов;Комплект;1;25;-;11.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;120;Приобретение парковочных столбиков;Приобретение парковочных столбиков;Комплект;1;64,2;-;11.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;121;"Оказание услуг связи в выделенной сети ОАО ""РЖД""";"Оказание услуг связи в выделенной сети ОАО ""РЖД""  в 2015 году ";Комплекс услуг;1;300;мар.90;12.2014г.;12.2015г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;122;Оказание услуг сотовой радиотелефонной связи в 2015 году;Оказание услуг сотовой радиотелефонной связи ;Комплекс услуг;1;100;-;11.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;123;Услуги АТС, СКС, ПМ;Услуги АТС, СКС, ПМ;Комплекс услуг;1;37,44;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;124;"Услуги ""АТЛАС""";"Услуги ""АТЛАС""";Комплекс услуг;1;71,33;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;125;Прямые провода правительственная связь;Прямые провода правительственная связь;Комплекс услуг;1;4,89;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;126;Оказание услуг  сотовой радиотелефонной связи в 2015 году;Оказание услуг  сотовой радиотелефонной связи ;Комплекс услуг;1;100;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;72.60;7260000;127;Обслуживание сайта Министерства в 2015 году;Обслуживание сайта Министерства;Комплекс услуг;1;1 440,00;14,4 / 432;11.2014г.;12.2015г.;Открытый конкурс;Пояснительная записка к плану-графику
10304082480019200000;60.20;6022020;128;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году;Комплекс услуг;1;5 852,02;58,5202356 / 1755,607068;11.2014г.;12.2015г.;Единственный поставщик;-
10304082480019200000;45.21.10;4529000;129;Обслуживание лифтов;Обслуживание лифтов в 2015 году;Комплекс работ;1;1 500,00;15 / 450;10.2014г.;12.2015г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;2109404;130;Приобретение бланков;Приобретение бланков на 2015 год;Комплект;1;490;4,9 / 147;11.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;42359;2109311;131;Приобретение бумаги;Приобретение бумаги;Комплект;1;1 000,00;10 / 300;11.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;132;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;21,5;-;11.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;133;Приобретение питьевой воды;Приобретение питьевой воды на 2015 год;Комплект;1;99,87;-;11.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;2109404;134;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;3 000,00;150 / 900;12.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;42359;2109311;135;Приобретение бумаги;Приобретение бумаги;Комплект;1;3 000,00;30 / 900;11.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;42359;2109311;136;Приобретение бумаги;Приобретение бумаги;Комплект;1;3 000,00;30 / 900;11.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;137;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;21,5;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;138;Приобретение канцелярских принадлежностей;Приобретение канцелярских принадлежностей;Комплект;1;21,5;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;139;Оказание услуг телеграфной связи в 2014 году;Оказание услуг телеграфной связи в 2014 году;Комплекс услуг;1;100;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;140;Оказание услуг телеграфной связи в 2014 году;Оказание услуг телеграфной связи в 2014 году;Комплекс услуг;1;100;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;30.01.;3000000;141;Поставка картриджей для оргтехники;Поставка оригинальных картриджей для оргтехники;Комплект;1;1 200,00;12 / 360;12.2014г.;12.2014г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;142;Поставка средств вычислительной техники;Оборудование для громкой связи;Комплект;1;2,78;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;143;Поставка коробов;Поставка архивных коробов;Комплект;1;99,86;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;3699010;144;Поставка коробов;Поставка архивных коробов;Комплект;1;99,86;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.2;2109404;145;Поставка настенных часов;Поставка настенных часов;Комплект;1;96,62;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.47.3;2109405;146;Поставка настенных часов;Поставка настенных часов;Комплект;1;96,62;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;7020020;147;Оказание услуг по химчистке штор;Оказание услуг по химчистке штор;Комплекс услуг;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;7020020;148;Оказание услуг по химчистке штор;Оказание услуг по химчистке штор;Комплекс услуг;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;7020020;149;Оказание услуг по химчистке штор;Оказание услуг по химчистке штор;Комплекс услуг;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;7020020;150;Выполнение работ по ремонту окон;Выполнение работ ремонту окон;Комплект;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;7020020;151;Выполнение работ по ремонту окон;Выполнение работ ремонту окон;Комплект;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;7020020;152;Выполнение работ по ремонту окон;Выполнение работ ремонту окон;Комплект;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.6;3691610;153;Изготовление и поставка удостоверений к нагрудному знаку и вклеек в удостоверения к нагрудному знаку;Изготовление и поставка удостоверений к нагрудному знаку и вклеек в удостоверения к нагрудному знаку;Комплект;1;85;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.6;3691610;154;Изготовление и поставка фоторамок к наградам и нагрудных знаков;Изготовление и поставка фоторамок к наградам и нагрудных знаков;Комплект;1;95;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.6;3691610;155;Изготовление и поставка благодарностей Министра транспорта Российской Федерации и вклеек в удостоверения к нагрудным знакам;Изготовление и поставка благодарностей Министра транспорта Российской Федерации и вклеек в удостоверения к нагрудным знакам;Комплект;1;87,8;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.6;3691610;156;Изготовление и поставка папок к приказам о награждении и сумок для футляров с ведомственными наградами;Изготовление и поставка папок к приказам о награждении и сумок для футляров с ведомственными наградами;Комплект;1;95,88;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.6;3691610;157;Изготовление и поставка сумок для для футляров с ведомственными наградами;Изготовление и поставка сумок для для футляров с ведомственными наградами;Комплект;1;44;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.6;3691610;158;Изготовление и поставка коробок к фоторамкам для наград;Изготовление и поставка коробок к фоторамкам для наград;Комплект;1;97,5;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;36.6;3691610;159;Изготовление и поставка коробок к фоторамкам для наград;Изготовление и поставка коробок к фоторамкам для наград;Комплект;1;97,5;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;160;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;161;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;162;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;163;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;164;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;165;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;166;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;167;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;168;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.33;2919020;169;Поставка и монтаж климатического оборудования;Поставка и монтаж климатического оборудования;Комплект;1;98;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;170;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;171;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;172;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;173;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;174;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;175;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;176;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;177;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;178;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;179;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;45.21.10;4529000;180;Выполнение работ по текущему ремонту ;Выполнение работ по текущему ремонту ;Комплекс работ;1;100;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;181;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;99,51;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;182;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;96,67;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;183;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;95,02;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;184;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;95,85;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;185;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;98,21;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;186;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;80,41;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;187;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;79,14;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;188;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;70,65;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;189;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;42,43;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;190;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;79,74;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;191;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;83,79;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;192;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;77,33;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;193;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;82,39;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;194;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;99,84;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;195;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;89,31;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;196;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;79,42;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;197;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;88,37;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;198;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;98,12;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;199;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;88,25;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;200;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;87,18;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;201;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;82,16;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;202;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;82;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;203;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;98,45;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;70.32.2;3000000;204;Приобретение предметов интерьера;Приобретение предметов интерьера;Комплект;1;77,23;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;30.01.;3000000;205;Поставка картриджей для оргтехники;Поставка оригинальных картриджей для оргтехники;Комплект;1;97,34;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;30.01.;3000000;206;Поставка картриджей для оргтехники;Поставка оригинальных картриджей для оргтехники;Комплект;1;97,34;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;30.01.;3000000;207;Поставка картриджей для оргтехники;Поставка оригинальных картриджей для оргтехники;Комплект;1;65,26;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;51.14.1;7290000;208;Поставка средств вычислительной техники;Поставка средств вычислительной техники;Комплект;1;40;-;12.2014г.;12.2014г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;55.5;5520010;209;Организация протокольных мероприятий;Организация протокольных мероприятий;Комплекс услуг;1;430;4,3 / 129;01.2015г.;12.2015г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;55.5;5520010;210;Организация протокольных мероприятий;Организация протокольных мероприятий;Комплекс услуг;1;500;-;01.2015г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;30.01.;3000000;211;Поставка запасных частей для оргтехники;Поставка оригинальных запасных частей для оргтехники;Комплект;1;810;8,1 / 243;01.2015г.;12.2015г.;Открытый аукцион в электронной форме;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;212;Оказание услуг спецсвязи;Оказание услуг спецсвязи;Комплекс услуг;1;71,34;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;213;Оказание услуг спецсвязи;Оказание услуг спецсвязи;Комплекс услуг;1;37,44;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;214;Оказание услуг по телефонной связи;Оказание услуг телефонной связи;Комплекс услуг;1;7,33;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;215;Оказание услуг по телефонной связи;Оказание услуг телефонной связи;Комплекс услуг;1;400;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;216;Оказание услуг фельдъегерской связи;Оказание услег фельдъегерской связи;Комплекс услуг;1;219,5;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;217;Оказание почтовых услуг ;Оказание почтовых услуг ;Комплекс услуг;1;100;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;218;Оказание услуг спецсвязи ;Оказание услуг спецсвязи ;Комплекс услуг;1;800;-;12.2014г.;12.2015г.;Единственный поставщик;Пояснительная записка к плану-графику
10304082480019200000;64.20;6420000;219;Оказание услуг местной телефонной связи в 2015 году;Оказание услуг местной телефонной связи в 2015 году;Комплекс услуг;1;98,78;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;64.20;6420000;220;Оказание услуг местной телефонной связи в 2015 году;Оказание услуг местной телефонной связи в 2015 году;Комплекс услуг;1;98,78;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;64.20;6420000;221;Оказание услуг местной телефонной связи в 2015 году;Оказание услуг местной телефонной связи в 2015 году;Комплекс услуг;1;98,17;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;64.20;6420000;222;Оказание услуг местной телефонной связи в 2015 году;Оказание услуг местной телефонной связи в 2015 году;Комплекс услуг;1;98,17;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;64.20;6420000;223;Оказание услуг телеграфной связи в 2015 году;Оказание услуг телеграфной связи в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;64.20;6420000;224;Оказание услуг телеграфной связи в 2015 году;Оказание услуг телеграфной связи в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;60.20;6022020;225;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;60.20;6022020;226;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;60.20;6022020;227;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;60.20;6022020;228;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;60.20;6022020;229;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;60.20;6022020;230;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;60.20;6022020;231;Оказание автотранспортных услуг в 2015 году;Оказание автотранспортных услуг в 2015 году;Комплекс услуг;1;100;-;01.2015г.;02.2015г.;Единственный поставщик;-
10304082480019200000;55.5;5520010;1;Организация синхронных переводов в ходе приемов иностранных делегаций;Организация синхронных переводов в ходе приемов иностранных делегаций;шт.;1;300;-;01.2015г.;12.2015г.;Единственный поставщик;-
10304082480019200000;55.5;5520010;2;Изготовления полиграфической продукции для протокольных нужд;Изготовления полиграфической продукции для протокольных нужд;шт.;1;100;-;01.2015г.;05.2015г.;Единственный поставщик;-
